"Est.No","SE.No","SE.B.No"
1.937411953,0.077316619,0.076409473
2.012405124,0.074882607,0.07494013
1.920236378,0.076674931,0.077010002
2.020077789,0.072635439,0.07215082
1.947301094,0.075335459,0.07576106
2.003495949,0.07456607,0.074906851
1.971647769,0.075992033,0.075428909
2.034920323,0.06752732,0.067735711
2.178636998,0.074188525,0.074666294
2.053370517,0.076896284,0.07645931
2.086023018,0.06911744,0.068590393
2.020965435,0.071850328,0.072067565
2.063508623,0.068709893,0.069614135
2.070366709,0.067293622,0.067995602
1.970931577,0.075242844,0.075498222
2.029648954,0.07101346,0.070366611
2.057999419,0.072768177,0.072898916
1.962868705,0.072960123,0.073647083
1.980730402,0.067956824,0.067639906
1.991189532,0.072663238,0.072592005
2.003679163,0.070236196,0.069910666
1.913234603,0.069848069,0.0703642
1.993126943,0.06994852,0.069436398
2.166517265,0.071437837,0.072017549
2.046606949,0.077553568,0.077619186
1.953112636,0.06919919,0.069173859
1.939928778,0.068879629,0.069412127
1.978434423,0.067377277,0.068281428
1.929008009,0.068164432,0.069177426
2.11385228,0.069755382,0.06891975
1.996257599,0.081165515,0.080445877
2.146033442,0.073851973,0.07399239
2.067279213,0.073816154,0.073615057
2.113660202,0.081141195,0.082055922
2.134016833,0.070273616,0.069882464
1.873171717,0.07573893,0.076229592
2.15150515,0.077208729,0.077340371
2.078849571,0.076193025,0.076199208
2.124472945,0.077929102,0.077545026
1.888244887,0.074810251,0.074477636
1.943394952,0.077899154,0.077206702
2.077733707,0.072916532,0.073479064
2.001411335,0.079071673,0.078763325
2.027402154,0.072986386,0.073100497
2.070532603,0.080531926,0.080647679
1.991141913,0.075436168,0.075480139
2.00893273,0.074366051,0.074258648
2.017820071,0.078193746,0.078546453
1.86669889,0.068030537,0.067922923
2.124974109,0.071879161,0.071999772
1.978159177,0.066245652,0.066011449
2.146396131,0.10224978,0.10311814
2.057382787,0.073923191,0.074020285
1.950341169,0.069975232,0.070380792
1.991059258,0.073687484,0.073275228
2.015964908,0.07486445,0.074728264
2.076176784,0.075370758,0.076137339
1.938341551,0.074017042,0.074223503
2.074695477,0.07258134,0.072867828
2.001977342,0.079591568,0.079675091
2.072322006,0.074611631,0.074039265
2.078520336,0.067302516,0.067160873
1.952769639,0.068785463,0.068148232
2.008961608,0.071242088,0.070694885
2.028261275,0.074844211,0.074622294
2.027303928,0.067465462,0.068159878
1.960315303,0.073953428,0.073995546
1.918478405,0.068539701,0.06813327
2.074311583,0.071115046,0.071697142
2.037177324,0.074278778,0.074480238
2.08198971,0.070702324,0.071193896
2.09051836,0.070436062,0.070402356
2.068451395,0.073972193,0.074121352
1.940594055,0.070056314,0.070029285
1.968481394,0.074840172,0.075470942
2.033332344,0.075850716,0.076176576
2.090986716,0.075405848,0.075693093
1.950976855,0.072646735,0.072330086
1.983842832,0.07179852,0.072112197
1.906633448,0.074232694,0.074305115
2.022256124,0.073454204,0.072622497
1.980435834,0.071223332,0.071539798
2.066771112,0.069830057,0.069430668
1.94928128,0.077259035,0.07756435
2.027421215,0.078852906,0.078869335
2.012539955,0.07442375,0.07357413
1.927039302,0.073722462,0.074727874
2.025245051,0.082245169,0.082536288
1.865267848,0.075889222,0.075081554
1.992727946,0.070132236,0.069439876
1.884905911,0.074474127,0.075158696
2.024071093,0.072424119,0.072343811
2.005855769,0.064963218,0.065005946
2.026007561,0.07696121,0.076614649
1.851709941,0.070524901,0.07055563
2.036222757,0.068597548,0.069447305
1.975419401,0.072270015,0.071718726
2.108561574,0.073107058,0.072105518
2.0056163,0.080297824,0.079377168
1.998696802,0.074282121,0.074779081
1.977923183,0.069866535,0.06989886
2.103469732,0.075770491,0.0765216
2.075039721,0.070796545,0.071659232
2.14357461,0.067907298,0.067956576
