"Est","SE","SE.B","Est.Numer.1","Est.Numer.0","Est.Denom","Est.True","SE.True","SE.B.True","Est.Numer.1.True","Est.Numer.0.True","Est.Denom.True"
2.18459293071882,0.213864833274991,0.212027450100671,1.58459876701024,0.238889521687447,0.616,2.13209829747514,0.216412906793096,0.217630417869957,2.51054048210565,1.19716793086096,0.616
2.3110511382276,0.233332729244141,0.23464066735423,1.43836031303373,0.292078948472837,0.496,2.37068772451416,0.280724865737194,0.280789534520536,2.26799719047539,1.09213607911637,0.496
2.05017240861504,0.23841245209791,0.237254620024142,1.55327975149155,0.347778375225908,0.588,1.84576835767739,0.225229600162673,0.224528734078212,2.30702546610914,1.22171367179483,0.588
2.12662776493989,0.191213514990579,0.190899298643049,1.41581271369126,0.241914187444441,0.552,2.15113406383772,0.243419636356967,0.244574943224896,2.32589054763186,1.13846454439344,0.552
1.72839219221303,0.28558743900202,0.28678245483755,1.48586591661924,0.490312013904532,0.576,1.39640938252395,0.219673844469823,0.220390828594545,2.08379018637622,1.27945838204243,0.576
1.85026825075025,0.236049831121876,0.237504631725478,1.27562493051088,0.35789187813876,0.496,1.85649423471873,0.267322795883272,0.267565749080408,2.0416146465293,1.12079350610881,0.496
1.91765900317097,0.23952385652146,0.239946389795736,1.4237147230822,0.41886140542061,0.524,2.13339703327628,0.277015718373703,0.279236346114582,2.32579847488283,1.20789842944606,0.524
1.94959063904616,0.236089402098464,0.234828465709684,1.4289061169314,0.352732084177922,0.552,2.01088892508052,0.240574612634818,0.239240957066997,2.23574902375085,1.1257383371064,0.552
1.89315384715751,0.212542662895857,0.212107107870272,1.45737523498523,0.298765080524837,0.612,1.89347543946615,0.221072376356123,0.223057491670313,2.49936260908714,1.34055564013386,0.612
1.89904660122466,0.226835329086319,0.225239263805445,1.40617769286788,0.357903968991872,0.552,1.86106152295623,0.238564643119286,0.239966232180167,2.17181963616853,1.14451367549669,0.552
1.8020199590245,0.208559346982664,0.208346528912624,1.343130739977,0.398872281448157,0.524,1.71445208336071,0.247593239676197,0.246250281950834,2.07937004877034,1.18099715708933,0.524
1.97735252999053,0.200189267683904,0.201216223431094,1.56499509984474,0.339036531250609,0.62,1.91515081369591,0.206691353845399,0.208441927954482,2.43178427336648,1.24439076887501,0.62
1.91069296417009,0.214358001180069,0.212379564572342,1.41883960226922,0.310637683050569,0.58,1.99233079993368,0.228082579602788,0.229995626112003,2.30910954789942,1.15355768393789,0.58
2.03294078694703,0.245426959448959,0.242619464740795,1.48726509877383,0.291895916048977,0.588,1.9400734420859,0.23191417219033,0.231575052445824,2.36553848096731,1.2247752970208,0.588
2.08219223916887,0.232264183407832,0.231389664434259,1.41249340355315,0.246465749618579,0.56,2.08182901629926,0.245927562848006,0.247891643546978,2.28265163557754,1.11682738644996,0.56
2.02386221972604,0.263147742464995,0.262722687126173,1.46803301550025,0.358956519090377,0.548,1.91428835564705,0.235066838018406,0.234611184905111,2.17553849619717,1.12650847730259,0.548
1.99821104487384,0.219778716798899,0.220145987068105,1.42161625854516,0.334589450133796,0.544,2.01995795205265,0.254184767550197,0.252550034036305,2.25110021989009,1.15224309397345,0.544
1.75023716481103,0.250702377742837,0.252337607566184,1.37980826471733,0.51169063097106,0.496,1.76560233635029,0.262181405111339,0.263693512254353,2.10106242754363,1.22532366871388,0.496
1.64598400024244,0.242842647648178,0.241895968796716,1.38714148163232,0.379799273483948,0.612,1.8295629995957,0.216141543325649,0.214220039965994,2.43674935327564,1.31705679752307,0.612
2.47871983462407,0.235247121913319,0.237464646048496,1.52861492882813,0.209935976808129,0.532,2.63541145848849,0.27845657167072,0.276549688586462,2.45279124367325,1.05075234775737,0.532
1.96217915183518,0.222070081465908,0.220276738184362,1.53322911313623,0.403013921679168,0.576,1.88865427956615,0.248357715651029,0.248911919729395,2.48390026372197,1.39603539869186,0.576
1.86924174630997,0.224259768237729,0.226972383146494,1.38012119591085,0.273530082095348,0.592,1.78350879471934,0.224505146468777,0.225172899387231,2.21187444146661,1.15603723499276,0.592
1.83311642574212,0.214278489562091,0.212399525294401,1.41739253996154,0.420177204357828,0.544,1.77458085512709,0.239025182872182,0.240327469366193,2.15508135295843,1.18970936776929,0.544
1.71510436738254,0.240404723789513,0.241117685656625,1.56877440950191,0.471107614377082,0.64,1.66729672897654,0.197631089455059,0.196336838692416,2.46203440765147,1.39496450110648,0.64
2.01489167940181,0.221672785199069,0.21841567064572,1.37133631411765,0.291354373958281,0.536,2.01597336626652,0.245503661664754,0.247922333645048,2.12575342900266,1.04519170468381,0.536
2.35774080959709,0.255365271594629,0.259190782062958,1.72703293945102,0.3689742331231,0.576,2.17560594032824,0.242339937526408,0.244451262917257,2.49030614189807,1.237157120269,0.576
1.61002580142766,0.218793582629157,0.2194411176302,1.54871661521231,0.60846154717856,0.584,1.42307840736459,0.216387462601872,0.216611953108351,2.27234871956942,1.44127092966851,0.584
1.71878275548381,0.222264790949223,0.223004663572301,1.46546807855431,0.475449211395633,0.576,1.77559578680173,0.224176820827705,0.222128067582817,2.32583794764811,1.30309477445031,0.576
2.4739564257804,0.239349920922599,0.238735750098397,1.53486629569674,0.248408954290931,0.52,2.62186896283849,0.29692541943658,0.293688133039806,2.40196901893359,1.03859715825758,0.52
1.82758444218884,0.227052969968693,0.22766964388244,1.39748327723333,0.403277340682602,0.544,1.73375368051423,0.240142683428276,0.242263527255305,2.21688590361313,1.27372390141339,0.544
1.58492539173601,0.260108632073487,0.257434153658411,1.19774293018019,0.335543517075802,0.544,2.0275013112564,0.242709279767734,0.243319303454807,2.20777375309107,1.10481303976759,0.544
1.6940271780411,0.208409363378074,0.210159583716766,1.36791227790699,0.459913710476958,0.536,1.73444121187519,0.231735459668263,0.232984018537739,2.22066156933926,1.29100107977416,0.536
2.29483866316532,0.245459869386732,0.246607388640394,1.68235688098341,0.287094973778893,0.608,2.05723635345765,0.223126151817083,0.22583698983723,2.4625606973319,1.21176099442965,0.608
1.94289461980973,0.250052461415582,0.252044739388607,1.60914528545619,0.474494827487303,0.584,1.8464410421944,0.231414744550627,0.229755102417308,2.43910925259254,1.36078768395101,0.584
1.98385974832086,0.230779010890337,0.232200830305483,1.65565522859857,0.417726745646354,0.624,2.1679972964898,0.231823877462365,0.231085886273448,2.75951262457238,1.40668231156275,0.624
2.09824193902158,0.217027633021638,0.216548376257079,1.33210878286991,0.266201877846943,0.508,2.14819608691708,0.268735526967583,0.267199410305895,2.13079488473303,1.03951127257915,0.508
1.94820059122892,0.220949574134685,0.220617289219283,1.4270233296098,0.374995010346182,0.54,2.18390352769348,0.264548486640403,0.261759009289061,2.38710747563643,1.20779957068196,0.54
2.01240886784918,0.199629707710217,0.200199644993048,1.35665434196004,0.237755011435899,0.556,1.93481259221534,0.234031122016876,0.234208000780047,2.18589800810236,1.11014220683063,0.556
2.33362887576522,0.239897359003953,0.239481360351956,1.5379030627027,0.259074438783361,0.548,2.17646878805787,0.259744294474717,0.261063754910374,2.29893475263064,1.10622985677492,0.548
2.17114179678333,0.244998663133877,0.245891652892975,1.42883795374806,0.317213353794992,0.512,2.33060269559082,0.279240181021113,0.27896880357342,2.27482700803975,1.08155842789726,0.512
1.90804294968632,0.219926997103149,0.220348777529817,1.31149723240406,0.372740101158387,0.492,2.13364936454437,0.273936202967791,0.274859139040144,2.1375659653264,1.08781047797057,0.492
2.14339403044638,0.230136651777024,0.229241091503988,1.33542017624407,0.229428856533733,0.516,2.12725847590224,0.265699892728261,0.264953350063636,2.07723231407197,0.979566940506412,0.516
2.35799769752703,0.284015695123666,0.28519676499749,1.91666497528118,0.454706402814422,0.62,1.94082731997506,0.213909752990752,0.214855697677262,2.59880855525645,1.39549561687191,0.62
2.52789053496899,0.283254040641941,0.28284135958989,1.73418935199861,0.227566593157089,0.596,1.99412846091055,0.229284199904854,0.228202838126483,2.34756318427769,1.159062621575,0.596
2.08385514441546,0.268639249615587,0.265942810672065,1.49215193177339,0.350199312633724,0.548,2.10406907605816,0.251339335537361,0.252211117594002,2.24148577099608,1.08845591731621,0.548
