"Est","SE","SE.B"
2.029199749,0.087900478,0.087937909
1.898521571,0.086190603,0.085411244
2.062809293,0.087777497,0.087671973
2.018072853,0.08863213,0.087819882
2.014338414,0.084039034,0.084063545
1.939489862,0.084167411,0.084462803
2.091658219,0.087996553,0.088498219
1.947494045,0.08624305,0.087025269
1.907144094,0.085372369,0.085182789
2.185540752,0.092922612,0.092178007
1.892552137,0.089919768,0.089203293
1.932682337,0.08293378,0.083338003
1.892059429,0.08986985,0.090492649
2.122321454,0.090791593,0.090123155
1.976963506,0.086685593,0.085930509
2.02795528,0.088197433,0.088307241
1.925279055,0.087435305,0.087216724
2.091559853,0.086454228,0.086222835
1.977979275,0.089453416,0.090329926
1.932911435,0.089454823,0.089148136
1.993240701,0.088483505,0.087633768
2.054094036,0.088987518,0.08893683
2.063751056,0.089481049,0.089969235
1.906880686,0.083464433,0.083078273
1.896846665,0.089891081,0.090836446
1.995804687,0.088068169,0.08803739
2.188272883,0.0876439,0.086937989
1.921832249,0.090635135,0.090400183
2.025548169,0.085376819,0.086010934
2.027728414,0.086146303,0.085286964
1.829225768,0.093688554,0.093801492
2.123520701,0.092296081,0.092396103
2.066528124,0.084801168,0.084290051
1.792498017,0.087977752,0.087623973
2.025835917,0.089825202,0.090053946
1.893181762,0.083507476,0.083911307
1.948896479,0.084904594,0.084181397
1.918533579,0.082383451,0.082137562
1.988594031,0.0856625,0.085285126
1.971167777,0.088680012,0.089286901
1.908852047,0.089347189,0.090051815
2.06954852,0.08021307,0.080767176
2.14426361,0.082481111,0.083151765
2.125332156,0.08789485,0.08841212
2.168964537,0.085897157,0.086380699
1.856817867,0.085718788,0.086200237
2.099480195,0.085183221,0.086095763
1.983834699,0.092510449,0.09300692
1.871548634,0.090426985,0.089633461
2.042469,0.090492626,0.090384874
1.94639575,0.084383356,0.084858669
1.868075682,0.08785005,0.087550932
2.10701558,0.085123711,0.086092457
2.045164715,0.081673885,0.081534758
2.095311535,0.088774355,0.088633594
1.865719031,0.09241238,0.092635939
2.015666418,0.08639239,0.087240043
2.010961047,0.08819696,0.08789489
1.916238599,0.091596791,0.090245284
1.982395668,0.089161277,0.08995795
1.916068235,0.090826819,0.090864807
2.00708506,0.086050678,0.085757412
1.958735596,0.083311686,0.082743639
1.873855305,0.091027681,0.091484916
2.012657273,0.084032431,0.084457384
2.161441653,0.085859039,0.085199028
2.043085156,0.089467072,0.088877589
1.97447225,0.08519901,0.084758547
2.177776739,0.083601092,0.083792423
1.909007734,0.098145109,0.096437441
2.199480688,0.089613659,0.089745598
2.03655722,0.085307514,0.085865288
1.871004375,0.083689964,0.083197883
1.987495418,0.085098915,0.084585411
2.037782767,0.092338639,0.091657724
2.114531529,0.085871864,0.08579086
2.026823342,0.089479947,0.089062304
2.016055853,0.083346128,0.082960054
1.92552662,0.092166621,0.092393657
1.855560003,0.083775172,0.08426542
