"N","MSE.h11","MSE.h01","MSE.h00","MSE.h2","MSE.q0","MSE.q11"
800,0.0191818008857272,0.0289031397116854,0.0142157400126629,0.00282039369068118,0.00603133635140726,0.151634715116804
800,0.0375661048872122,0.0329076773166379,0.0129843102249261,0.00648848153421957,0.0172354780337446,0.170420507194725
800,0.026682076965483,0.0293783167081618,0.0118073700354785,0.00445770672429396,0.0829863080403304,0.21693712917541
800,0.0154590235104327,0.0293447788649558,0.0168523286712602,0.00936089546514283,0.056293884048192,0.569290302469354
800,0.0376548677407315,0.0278346374261018,0.0146147744932431,0.0133898186170182,0.164319149752054,0.192067477596622
800,0.0324629125474417,0.0257037713754454,0.0108188468023914,0.0102987319047136,0.0824488351026165,0.291759135059131
800,0.0664460049047119,0.025259913546647,0.00776603431944806,0.00658393294288187,0.0622147707236697,0.417144378468875
800,0.0220821762512389,0.0250037132691026,0.0203905596865625,0.00544713631398732,0.0658797433312216,0.616099439860744
800,0.0957545913195742,0.0390312155153356,0.0274150407331112,0.00242317973668785,0.0244872143749449,0.486009991220499
800,0.0364389055538416,0.0663127643985197,0.00742468274148546,0.0161852678282347,0.019215777617141,0.460021887342298
800,0.0479072416066723,0.0640657492190461,0.024811314968322,0.0130169115006942,0.0841783566994008,0.552443161502213
800,0.0270155355678939,0.0297627123363585,0.0164671823715903,0.0106493953180119,0.0788501647344026,0.3075063919985
800,0.0304127904281334,0.0192833177154443,0.0215391799282399,0.006000912247783,0.0208939712082129,0.365559797736422
800,0.0636764138391198,0.0282279483456419,0.0165750590914779,0.00743865777174848,0.0829342856830829,0.547813650903941
800,0.0212321590143212,0.0602815070488634,0.00956453607745262,0.0053056642131338,0.0978483194808468,0.77723943895556
800,0.0425778146211589,0.044888923523303,0.0141941676554885,0.00982942634059545,0.0304144578644617,0.128677628917499
800,0.0345736151949098,0.00719589168814464,0.0105802773137216,0.00356431007836084,0.0435796629033773,3.03531642526371
800,0.013861701008807,0.0128405872949521,0.00738146146987801,0.0092751169060766,0.0160914201960947,0.190741099544172
800,0.100789251514503,0.0420466231400447,0.0103622478276934,0.0122821972472749,0.0656546078971095,0.475363914067504
800,0.0407466873753909,0.0158592037438822,0.00977382607077978,0.00475888488553162,0.0209176642329305,0.316396877164608
800,0.0857502183101951,0.0113688972157887,0.0490738952411851,0.0124583011133325,0.0577697629148351,0.171570173120738
800,0.0506798830192877,0.0246544493304252,0.00887120387543698,0.00493640137932257,0.0652392648055121,0.0649735601976991
