"Batch","Eff_Obs","Eff_Exp"
340,1.92773027896979,1.99796534917028
341,1.98801572882776,1.98426831077253
342,1.99021140562813,1.98451248416324
343,1.96320708702119,2.01180479815733
344,1.98394730777892,1.98312231441036
345,1.95693034221487,1.97204327191797
346,2.04315113123533,1.96670618507497
347,1.98992474807577,1.97375563639219
348,1.98133614008072,1.97323354068917
349,1.96345501230312,1.98939029452057
350,1.95020273254321,1.98252285274513
351,1.9943402309235,1.96245335164418
352,1.97930335500552,1.99125313255342
353,2.02321590280093,2.00747334365814
354,1.96393547546574,1.99789189111317
355,1.98651869495738,1.97855859500042
356,1.99080788465171,1.96581314964354
357,2.02451425990197,1.99328328007476
358,2.00008551496735,2.00044204616768
359,2.00906917143128,1.98229558398329
360,1.98309713798922,1.99602963701178
361,1.97550340708137,1.99576217491949
362,2.00723236178941,1.94001715169767
363,1.99206213408931,1.96663932515109
364,1.92906417440675,1.96142926505267
365,1.98766375051059,1.98140615849186
366,2.00387140342299,2.01864104199296
367,2.00461841110746,2.02336293973707
368,2.00085608928509,1.97602703570624
369,1.98609431982904,1.99931956057665
370,1.99441901913359,1.9688722722267
371,1.96062299309202,1.95401166600077
372,2.00414175730176,1.99338654598221
373,1.96816322590836,2.00672607709761
374,2.01051059005259,1.976364203911
375,2.00979558753694,1.95109988015368
376,2.00261383394126,1.97879806809043
377,1.9893436435874,1.97689905240377
378,1.9863914623106,2.00345943367527
379,1.99108080655478,1.98536094762567
380,1.98903925009533,1.98356606083305
381,2.00950127560486,1.98055450547042
382,1.98417101968831,1.97918361182308
383,1.9835848546503,1.97975468651962
384,1.96709366001733,1.98357103168026
385,1.96399448347712,1.95418076787514
386,1.9817728197335,1.99473525759767
387,1.95359594234635,1.98995890270112
388,1.96928018278141,2.01449455994306
389,1.99438446408277,1.99281997165531
390,1.98399744014022,1.96095260119988
391,1.99126823589385,1.97635118705309
392,1.9779970277696,2.01426280739114
393,1.99374038950179,1.97888463284627
394,1.99614610808552,1.97866730196248
395,1.97327416356364,2.0034508889698
396,1.98385626575041,1.99052662304617
397,2.00706219986586,1.97055374395979
398,1.9950392173867,1.9610729666359
399,1.98362344040246,1.98794881430526
400,1.97709449239817,1.94856942830427
401,1.96768784061487,1.95900612824935
402,2.00308710570708,1.99159755734516
403,1.97126873670972,1.99302416736326
404,2.00677606368654,1.97245481172545
405,1.98970528905652,1.97645786280434
406,2.00549890141238,1.97285927041855
407,1.96077477701154,1.94169545515916
408,1.97666740142385,2.01146713528576
409,1.96371530598949,1.98832401448972
410,1.97390122040177,1.9941561938493
411,1.99268568038413,1.95063812107404
412,1.97336366946644,1.98047448417959
413,1.99178262874171,2.00249869146655
414,1.98963580143523,1.97479033925211
415,2.00411899615189,1.96295352718423
416,2.00932405777276,1.95975535015253
417,1.97464537303655,2.01971985921357
418,1.98458574262719,1.98123138655254
419,2.00197460674362,2.00593302841335
420,1.99020668488788,1.99445079986477
421,1.96480059702571,1.98064339209302
422,1.97210576413494,1.96267762631863
423,2.00320571738513,1.99849132440137
424,1.99803800496639,1.98357860326535
425,1.94419532531622,2.00076418707861
426,1.96484603648438,1.9794944204876
427,1.98483654443286,1.97626173614125
428,1.9794174383014,1.97664998766007
429,1.97542346184122,2.01389196172233
