"Seed","Est","SE","Est.1","SE.1","Est.0","SE.0"
1,-3.31597355478503,2.18946738745476,-9.55253269473065,1.81360752939832,-6.23655913994562,1.41805056968725
2,-2.26648251155941,1.94492700638348,-8.50304165150503,1.5960622875536,-6.23655913994562,1.41805056968725
3,-5.59409308843701,2.14688339660329,-11.8306522283826,1.7791402653111,-6.23655913994562,1.41805056968725
4,-2.65193216992501,2.00256398798231,-8.88849130987063,1.63085738737172,-6.23655913994562,1.41805056968725
5,-2.51674272204977,2.15657705424797,-8.75330186199539,1.77004425370941,-6.23655913994562,1.41805056968725
6,-2.77411446357618,2.24888002451688,-9.0106736035218,1.96014738922949,-6.23655913994562,1.41805056968725
7,-2.2408960231821,2.18282998864314,-8.47745516312772,1.97205894311107,-6.23655913994562,1.41805056968725
8,-2.93335821195075,2.05083075635077,-9.16991735189637,1.84147842298463,-6.23655913994562,1.41805056968725
9,-2.28159183127438,2.17909081650144,-8.51815097122,1.88008919646588,-6.23655913994562,1.41805056968725
10,-2.67215771497797,2.00995492965264,-8.90871685492359,1.68016418517153,-6.23655913994562,1.41805056968725
11,-3.00569283524185,2.02228902560245,-9.24225197518747,1.62529060922612,-6.23655913994562,1.41805056968725
12,-2.4535987913573,2.33560121773317,-8.69015793130292,1.94990043544325,-6.23655913994562,1.41805056968725
13,-1.84537267434723,2.09374139027025,-8.08193181429285,1.79304720883478,-6.23655913994562,1.41805056968725
14,-1.77501435622035,2.36015484866345,-8.01157349616597,1.96043141358883,-6.23655913994562,1.41805056968725
15,0.796718187534634,2.10593543703087,-5.43984095241099,1.81353013019414,-6.23655913994562,1.41805056968725
16,-1.86175190571678,2.25360966582774,-8.0983110456624,1.9692301127628,-6.23655913994562,1.41805056968725
17,-1.97791409429477,2.10240600377641,-8.21447323424039,1.78000438293222,-6.23655913994562,1.41805056968725
18,-4.31480114176778,2.09633801778307,-10.5513602817134,1.78364288089426,-6.23655913994562,1.41805056968725
19,-2.60001313747978,2.23301283056895,-8.8365722774254,1.87850701885779,-6.23655913994562,1.41805056968725
20,-1.97889577517854,1.9709728182079,-8.21545491512416,1.77165363365312,-6.23655913994562,1.41805056968725
21,-1.78221636213164,2.04079226551439,-8.01877550207726,1.76959922815377,-6.23655913994562,1.41805056968725
22,-1.85951472660684,2.08745516482733,-8.09607386655246,1.65090546214047,-6.23655913994562,1.41805056968725
23,-2.0873578870166,2.15829881084703,-8.32391702696222,1.79184358120036,-6.23655913994562,1.41805056968725
24,-2.58519834329719,2.03234381499641,-8.82175748324281,1.69204396836637,-6.23655913994562,1.41805056968725
25,-1.530594180466,2.2162788227502,-7.76715332041162,1.83510877062049,-6.23655913994562,1.41805056968725
26,-0.618292894129181,2.4134536927088,-6.8548520340748,2.08475829828574,-6.23655913994562,1.41805056968725
27,-2.81358615703142,2.02664351285459,-9.05014529697704,1.72253055211221,-6.23655913994562,1.41805056968725
