Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.h01.PMMR,SE.h00.PMMR,SE.h2.PMMR,SE.q0.PMMR,SE.q11.PMMR,SE.h11.True,SE.h01.True,SE.h00.True,SE.h2.True,SE.q0.True,SE.q11.True
1.960982476,0.453016718,0.45277132,1.70325389,0.779880757,0.47087271,2.215054313,0.255596855,0.253880372,2.257946254,1.039814071,0.549933325,0.973536964,2.064429483,1.537633865,0.46774732,2.879528574,0.451403143,1.959761384,1.644126476,1.753615088,0.106370301,0.280692967,0.233631005
2.936126404,1.479351598,1.468174272,2.45720489,1.197389561,0.429073942,1.73526564,0.249233048,0.247548291,2.429398952,1.352983235,0.620317542,1.426371354,2.311931331,1.157867988,0.522715833,4.392151015,6.901653006,2.04764993,1.79489369,1.915388778,0.11434966,0.291383902,0.227292003
3.277165167,0.863453358,0.868021077,2.654553977,0.892167187,0.537777836,2.465401273,0.254999186,0.259081902,2.45469305,1.01482622,0.584029401,1.085128373,2.211706661,1.816840561,0.562119468,2.683434681,6.134329307,2.024141521,1.736134152,1.850196797,0.111823825,0.265086768,0.210646107
2.286170288,0.341398375,0.339252667,2.801424111,1.368877585,0.626614095,1.956822328,0.254377621,0.254724139,2.390054688,1.207102903,0.604526925,1.209669191,2.558262782,1.411336732,0.55527268,2.477204967,4.261764656,2.010272719,1.756196011,1.867484229,0.112896087,0.269642858,0.221954711
2.786012127,0.462574862,0.466360892,3.065288958,1.289503961,0.637393132,1.771959501,0.268746913,0.268052461,2.36675684,1.341246543,0.578743643,1.162450347,2.572422367,1.798981766,0.617442822,3.76490206,4.77692972,2.051138478,1.781681729,1.892772888,0.114502932,0.283072464,0.218624982
2.154031717,0.439928917,0.442451338,2.63573632,1.296027884,0.621953904,2.003894474,0.220498982,0.219455926,2.646907299,1.359132163,0.642636203,1.043677191,2.411330784,1.191336905,0.580518259,2.876983124,8.683390326,2.001706993,1.701443577,1.812268413,0.110254442,0.267914155,0.225005662
2.125569151,0.350851237,0.349229423,2.505243236,1.223145171,0.603178713,2.174411647,0.253308376,0.254181543,2.370464381,1.113995943,0.577842949,1.220243457,0.95671301,0.917496534,0.168437982,3.201680299,3.142575804,1.867728587,1.546969885,1.644697527,0.102003598,0.307011399,0.234058454
1.502537054,0.755184808,0.749821026,1.553776761,0.776768621,0.517130768,2.204333642,0.243608578,0.239433072,2.640376499,1.282478135,0.616013084,1.548313504,2.467403217,1.363539915,0.360041193,4.104809824,6.210398769,2.055006775,1.813734925,1.947292861,0.114038226,0.276049062,0.226172683
1.555846482,0.418906922,0.415916235,2.31116191,1.336958819,0.626156309,2.061541887,0.229836601,0.229880247,2.631454661,1.329797057,0.631400027,1.548795699,1.48501943,2.008564619,0.640926725,0.992200897,4.786265438,2.018031564,1.723737794,1.837164284,0.110777092,0.243387019,0.194422884
2.035435798,0.562218458,0.562059268,2.755930404,1.511638766,0.611314609,1.882752415,0.230148891,0.232780749,2.510557657,1.372514259,0.604457277,1.557336502,2.638535243,1.603017732,0.451922521,2.574561825,7.492289784,2.076599554,1.750200405,1.855652961,0.114441659,0.277076303,0.233060538
