Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.h01.PMMR,SE.h00.PMMR,SE.h2.PMMR,SE.q0.PMMR,SE.q11.PMMR,SE.h11.True,SE.h01.True,SE.h00.True,SE.h2.True,SE.q0.True,SE.q11.True
1.910459182,0.309488592,0.310495933,2.204627935,1.10615306,0.574979505,2.115549695,0.11939432,0.119372948,2.489117697,1.210047048,0.604604397,0.987818007,1.868026204,1.582097073,0.440051496,3.495944148,9.726825559,1.929349212,1.617845569,1.719127044,0.105638924,0.266073517,0.221200039
1.770497853,0.267330571,0.268550474,2.685681738,1.434493778,0.706687081,2.132213436,0.128280063,0.128848873,2.530138758,1.239245758,0.605423912,1.226284559,1.476913226,1.592912965,0.533067266,2.952226103,10.13043604,2.008291799,1.710454141,1.818368057,0.110854141,0.282754482,0.216071188
1.756697712,0.276243377,0.276571679,2.270190725,1.200325645,0.609020592,2.164048331,0.117280201,0.117208251,2.519278267,1.178204222,0.619706143,1.425072062,2.566914862,1.084687197,0.535608182,1.83360219,7.452312968,1.989837405,1.663893512,1.773537159,0.108175152,0.262451998,0.215100081
2.050465712,0.282868442,0.284153164,2.813110944,1.395833508,0.691197823,1.848004255,0.113639577,0.112999847,2.486970476,1.312716272,0.635417479,1.241105244,2.116691921,1.402202505,0.496760721,3.771603061,9.53884227,2.018778905,1.676060165,1.783731904,0.109275697,0.274631244,0.226032687
1.918872054,0.157309268,0.157479103,2.685871786,1.424921797,0.657130832,2.100796471,0.116777131,0.11666983,2.606995361,1.285692083,0.628953493,1.018966198,1.880843942,1.277477412,0.452947519,3.333439201,4.57797085,2.078838754,1.769615429,1.878800423,0.114988484,0.279007777,0.223759403
2.258264437,0.14598832,0.146431215,2.558226254,1.149717195,0.623713076,2.0687855,0.119439758,0.117942462,2.355447649,1.141852051,0.586622247,1.084101351,2.476528186,1.505769199,0.571204472,2.44183348,2.471163355,1.974407624,1.670832507,1.783768838,0.107766829,0.274455903,0.221373254
2.161905964,0.304605589,0.306921835,2.509511875,1.257575794,0.579089055,1.997519269,0.121985149,0.122683611,2.524576173,1.313139583,0.60647054,1.544653183,2.543083241,1.378104547,0.54500228,3.600457907,7.643600613,2.003361374,1.690132358,1.796826067,0.110024008,0.276414578,0.216562876
2.247007773,0.321877185,0.320685532,2.510285122,1.129687961,0.614415837,2.156913126,0.1198906,0.119050302,2.525844575,1.218422436,0.606154288,1.336170946,2.464824448,1.466856549,0.3978904,3.419938626,8.065347212,2.061783269,1.741053048,1.848289986,0.113486604,0.281353254,0.220279161
1.941910793,0.220367121,0.222251603,2.486587925,1.296099756,0.613049875,1.991559028,0.117656261,0.117527851,2.432436118,1.232330224,0.602596196,1.651016323,2.668465165,1.461935104,0.534965525,2.512143906,4.093372004,2.014208698,1.738564232,1.850309321,0.111979482,0.274454203,0.218310055
1.985055973,0.229308941,0.229263127,2.349306537,1.212879035,0.572491415,1.906452789,0.118026059,0.117028243,2.442678184,1.281343081,0.609160169,1.57043954,2.292014035,0.8873853,0.433993166,1.53153699,4.939478223,2.002840602,1.698826826,1.808172961,0.110039285,0.272370155,0.216377777
1.947668392,0.260924473,0.258329504,2.236427043,1.120702538,0.572851369,2.039487288,0.124100977,0.123566171,2.381288783,1.181364447,0.588346073,1.49539686,1.561219284,1.106219835,0.319670272,3.553150333,5.813718013,2.036546831,1.750271479,1.861376387,0.112931405,0.272087801,0.214296726
2.251422422,0.211836718,0.212789703,2.576442723,1.248607152,0.589776294,1.910792526,0.120489871,0.120168955,2.504897938,1.326572576,0.616668396,1.317786719,1.62081575,1.335580144,0.283332134,2.335822178,4.77392209,2.053903347,1.763324797,1.86906515,0.114498244,0.277203861,0.223028324
