Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.q11.PMMR,SE.h11.True,SE.q11.True
1.807667432,0.214861273,0.214184026,2.280460274,1.229000384,0.581666667,1.962031581,0.171603111,0.170907285,2.370248754,1.229000384,0.581666667,1.343560972,3.856875345,2.014847641,0.050829889
2.155009694,0.44259366,0.445233482,2.858886398,1.38629644,0.683333333,1.745623832,0.143967257,0.144161426,2.579139392,1.38629644,0.683333333,1.566588832,10.98872417,2.036647362,0.051749941
2.532489844,0.403403172,0.408132329,3.055610704,1.409492306,0.65,2.112460785,0.16274588,0.162388994,2.782591816,1.409492306,0.65,1.618372477,9.316754412,2.006494849,0.051913167
2.401657544,0.3515137,0.354333574,2.61051696,1.229563872,0.575,1.915488417,0.176270609,0.17571253,2.330969712,1.229563872,0.575,1.176416729,7.509006479,1.998046298,0.050106503
1.992181132,0.192337395,0.19093507,2.525374502,1.280261294,0.625,1.891776739,0.161550799,0.162235266,2.462621756,1.280261294,0.625,1.58456174,3.426378588,2.016632196,0.051220499
2.182247779,0.335846092,0.334579073,2.701147413,1.293597596,0.645,1.968952842,0.155283078,0.157404103,2.563572179,1.293597596,0.645,1.453776773,7.956526166,2.005830423,0.051619454
1.450635938,0.272627448,0.273747658,2.279290878,1.38473205,0.616666667,1.860086803,0.162487419,0.161480773,2.531785579,1.38473205,0.616666667,1.452296062,6.312504975,2.034747879,0.049901407
2.235540413,0.29835175,0.298003611,2.662198335,1.238904272,0.636666667,2.160333077,0.166137963,0.167389147,2.614316331,1.238904272,0.636666667,1.49508129,7.153125224,2.070148118,0.051027982
1.937136113,0.277703388,0.278326407,2.468602146,1.293406237,0.606666667,1.885859649,0.164431936,0.163306369,2.437494424,1.293406237,0.606666667,1.264489884,6.040083608,2.047070256,0.051864167
2.112965643,0.415245902,0.409767154,2.403019961,1.205672763,0.566666667,2.107691389,0.183836289,0.18331049,2.400031217,1.205672763,0.566666667,1.283435273,8.462919864,1.980439154,0.051095675
