Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.h01.PMMR,SE.h00.PMMR,SE.h2.PMMR,SE.q0.PMMR,SE.q11.PMMR,SE.h11.True,SE.h01.True,SE.h00.True,SE.h2.True,SE.q0.True,SE.q11.True
1.97751501,0.332102897,0.33113454,2.482950281,1.235889343,0.630620214,1.878537583,0.16658185,0.167013627,2.467646993,1.327732481,0.606809532,1.037302949,1.838043542,1.113783692,0.321924248,2.555561169,10.03937463,1.968088823,1.661707794,1.757813213,0.109328209,0.280858088,0.226509598
1.282264543,0.39185762,0.390903045,2.484281633,1.663987567,0.639722958,2.023428567,0.158822842,0.157223348,2.593162024,1.35691262,0.610967654,1.198822754,2.644810537,1.882017983,0.614067707,2.542887029,7.729370102,1.983441465,1.697663037,1.794727208,0.111152983,0.281683263,0.213570978
2.050402778,0.387255997,0.385999312,2.275585076,1.142916148,0.552412892,2.153054346,0.183471463,0.184231305,2.316561724,1.104670009,0.562870936,1.483541086,2.504022574,1.333691558,0.365505952,2.781586774,2.361533726,1.994039267,1.646741501,1.757575725,0.107073257,0.272074415,0.220479076
1.96619687,0.233981103,0.23374971,2.585579278,1.300260986,0.653707832,1.914690999,0.162981427,0.163655967,2.575530058,1.341503276,0.644504404,1.211792491,1.685948913,1.185469336,0.344555274,2.856816441,5.068475357,2.043995989,1.688979969,1.791736145,0.110738078,0.276423563,0.219394931
2.415469612,0.35361854,0.357455107,2.71549205,1.258392257,0.603236649,1.576636524,0.164519963,0.165853216,2.41843594,1.429262774,0.627394552,1.044342288,2.424882025,1.202209429,0.543817803,2.172949481,8.884260468,2.042775554,1.758618334,1.872932607,0.113368162,0.275055835,0.217768787
1.87562529,0.258574988,0.259044114,2.452136476,1.336441822,0.594838777,2.077467672,0.172299299,0.173559597,2.448812489,1.172174843,0.614516251,0.954550081,2.150708434,1.599859569,0.494842733,2.936611883,3.366779604,2.038346024,1.690015173,1.799627179,0.109912365,0.26087294,0.218484677
1.864435195,0.610244496,0.612030107,2.453691515,1.384681688,0.573369259,2.140125225,0.171926265,0.170959647,2.779048588,1.380729724,0.653381796,1.135189491,2.511284835,1.002352588,0.147584419,4.608053596,6.312803565,2.091517705,1.772494292,1.894272234,0.113985604,0.268808029,0.212528996
2.702306283,0.43222831,0.431230645,2.645209575,1.079906491,0.579247102,1.795142936,0.160531438,0.162635174,2.450207222,1.327270091,0.625541904,1.097944617,2.76893341,1.717588589,0.676927925,3.647906861,7.290248643,1.963931479,1.632695835,1.730702665,0.107331854,0.282949615,0.232560523
1.830241706,0.313547251,0.310588604,2.114623057,1.077489228,0.566664952,1.91389416,0.184951125,0.185537441,2.365672789,1.208950451,0.60438156,1.127792437,3.153451183,1.654215465,0.709864405,2.572203902,5.793016662,2.033109547,1.742070072,1.862275822,0.111460733,0.269607714,0.209382597
1.660875953,0.324111665,0.320759041,2.224439585,1.195929011,0.619257912,1.912730721,0.166776974,0.164648327,2.541916278,1.376663837,0.609208828,1.720714238,2.395927443,1.703785423,0.489207283,3.870957247,2.899136171,2.042131391,1.762802303,1.876405782,0.113629614,0.276366798,0.226432393
2.071856788,0.354226161,0.353112461,2.987971316,1.574903908,0.68202948,1.818239718,0.157242695,0.1572441,2.40143572,1.28045509,0.616519714,1.090188273,2.118582944,1.459843487,0.511059295,3.174220825,7.815021726,1.981292121,1.683727657,1.792784362,0.10927809,0.281122989,0.215463462
1.455234359,0.425220467,0.421043876,2.523951816,1.622944055,0.619149593,1.958715501,0.159235185,0.159238692,2.703650905,1.408176068,0.661389996,1.357803513,2.395262873,1.787952148,0.654433473,3.826236443,5.664260702,1.977084725,1.687951154,1.795786951,0.109371744,0.284032317,0.217253671
2.017267783,0.296125294,0.297459698,2.372694596,1.164956265,0.598700055,2.028725545,0.184972878,0.186028236,2.498729833,1.262626164,0.609300588,1.360667024,2.128238363,1.421875158,0.570786758,3.958326287,4.866101265,2.104390061,1.794562452,1.919614632,0.114810725,0.265682612,0.215312986
2.165098335,0.401725529,0.407012035,2.635816802,1.202287684,0.662108088,1.824050555,0.172345516,0.174230833,2.33262771,1.258989769,0.588600978,1.178198294,1.728129121,1.541585539,0.472840503,4.90438067,5.163425195,2.01923966,1.700620445,1.813023177,0.110258741,0.286013203,0.231165664
2.112467265,0.261249227,0.261582039,2.403941578,1.083811286,0.624923431,1.687875183,0.170400591,0.168867071,2.380834782,1.3261122,0.624881859,1.138303697,2.53189127,1.469411584,0.632513548,2.87542507,5.187159187,2.028447593,1.689910909,1.802097051,0.109876229,0.286372755,0.228372273
2.308807637,0.365545551,0.368992225,2.549523265,1.229437008,0.571761041,1.742791484,0.178340611,0.179396053,2.355551842,1.325936437,0.590785194,1.485282125,2.433207512,1.479709374,0.63982863,2.19364074,3.331357944,2.046606358,1.788839106,1.89463355,0.115517332,0.291530099,0.226017986
2.598627472,0.437807464,0.444654212,2.969475961,1.349704142,0.623318208,1.81183764,0.165200798,0.164932934,2.464111007,1.333726847,0.62388822,1.730702701,2.368680177,1.240884863,0.511496236,3.2543177,5.0923128,1.987460402,1.714447319,1.828165713,0.110212474,0.268706588,0.222286507
2.369114166,0.433601976,0.432999885,2.794361006,1.348615639,0.610247234,2.067092077,0.181214282,0.180032494,2.31107205,1.133220121,0.569811061,1.535089401,2.664376898,2.043941443,0.4927596,4.188519277,6.48078422,2.040805248,1.764609977,1.876618213,0.113590907,0.283185801,0.225559733
1.905317132,0.315837607,0.316422911,2.285367427,1.131747388,0.605474028,2.157862468,0.163695352,0.163196163,2.577140464,1.235350738,0.621814293,1.340442943,1.574129351,1.502068626,0.346973557,1.54782372,5.213959209,2.003079803,1.723699497,1.840188475,0.110282582,0.265714729,0.219097293
1.607796065,0.323226798,0.326886805,2.410655115,1.417933862,0.617442271,2.093090409,0.164337329,0.165199213,2.535643092,1.252622813,0.612978911,0.911800789,1.9284571,1.452476425,0.454632389,2.502897723,6.3563973,1.994953798,1.675184258,1.776788693,0.109463184,0.288364054,0.223058535
2.376944907,0.376332854,0.37704475,2.836554857,1.256953941,0.664550916,1.929436732,0.165661558,0.167124266,2.54445689,1.324190847,0.632446777,1.09041889,1.52035444,1.169738302,0.354840775,3.650031062,16.08824794,2.004604357,1.754070387,1.871098296,0.111919544,0.279246171,0.215486711
1.900977336,0.29732487,0.29657979,2.299486817,1.151187849,0.604057159,1.978302017,0.172037946,0.171704928,2.473309027,1.246823312,0.619968895,1.201638786,1.767709456,1.505611504,0.496711187,1.658571142,4.739472717,2.028652028,1.703743696,1.812830795,0.110701132,0.268431217,0.217654718
2.027596537,0.391574587,0.387532478,2.595149167,1.273060309,0.652047305,1.999759454,0.15707865,0.158079914,2.575482459,1.314941004,0.630346541,1.869576451,2.091773428,1.637742248,0.485741126,2.045211729,6.850153317,1.941225069,1.651132772,1.756839459,0.107284525,0.281289938,0.213172691
1.365320724,0.318212957,0.319918393,2.644102055,1.680868523,0.705499825,1.941661827,0.160660237,0.160255942,2.645471496,1.388454498,0.647392342,1.555118077,2.481400906,1.428759785,0.654995061,3.758887627,3.142983699,1.948966782,1.617151119,1.707562658,0.107014326,0.279188871,0.222773501
1.620432833,0.596869157,0.590942578,1.955202358,1.056169791,0.554810141,2.069842957,0.175766461,0.175834447,2.432760758,1.191773199,0.599556384,1.130063718,2.091683736,1.403976114,0.565345924,4.259634205,6.729234755,2.087544661,1.791983584,1.903313187,0.115800162,0.271047186,0.212783993
2.336861423,0.394066932,0.393013411,2.480346618,1.106175353,0.588041401,2.012145725,0.164862407,0.165587029,2.548396007,1.302171269,0.619351134,1.569994951,1.827911207,1.205413223,0.393263886,1.986512246,7.014553378,2.06935591,1.721968531,1.835044742,0.111781171,0.262200834,0.213758002
2.065049107,0.221366416,0.218855654,2.273389148,1.02653412,0.603789529,2.058005634,0.179838426,0.179572448,2.367371936,1.157592443,0.58784071,0.792659145,2.213377885,1.677113264,0.53838213,1.85612552,5.486569928,2.071367646,1.736616775,1.852580592,0.112599586,0.271488545,0.226343761
2.103077908,0.371884115,0.369737681,2.649642375,1.383027464,0.602267232,1.977130227,0.165991979,0.165933893,2.370819443,1.217502073,0.583328986,1.195662049,1.31295377,1.308627272,0.367309507,3.448207965,7.754639275,1.947534837,1.668932124,1.773199052,0.108142357,0.281791645,0.223738146
1.793080193,0.387030548,0.381804189,2.433922641,1.312303478,0.625526492,1.823423367,0.163525299,0.162722248,2.417164722,1.316159909,0.603811947,1.220912978,1.802053864,1.531362679,0.406329979,2.989208598,6.809035917,1.977008081,1.675205015,1.773947804,0.109849897,0.291181159,0.226599971
1.584007714,0.33289873,0.328770833,2.337056534,1.355716773,0.61952966,1.917765719,0.181639096,0.178725046,2.352419597,1.239163568,0.580496365,1.325172056,2.507802599,1.613189485,0.606829809,3.940308096,7.087198987,2.059265647,1.87205226,1.999847893,0.117516271,0.273701059,0.226588267
2.042022206,0.444027512,0.444275083,2.152218467,1.081117733,0.524529426,2.020623026,0.162790939,0.16252137,2.560097633,1.295409942,0.625889973,1.651327667,3.420862178,1.636942417,0.689451763,3.437521906,5.389260881,1.913555379,1.626349812,1.724042246,0.10620605,0.281715859,0.229016586
1.493980284,0.279272932,0.280385129,2.261160659,1.326693979,0.62548796,2.011663387,0.160193538,0.160512147,2.474744501,1.255969423,0.605854382,1.048451842,2.555256561,1.396663802,0.524478794,2.043101268,6.318313466,1.942157495,1.659599865,1.769015682,0.107398319,0.271534789,0.222602389
0.822631242,0.514367909,0.514889909,1.695738785,1.244230914,0.548858162,1.943472535,0.164636034,0.163038327,2.477283669,1.272470747,0.619927939,1.329533086,2.395826643,1.367762405,0.522087095,4.597831726,5.22723292,2.014795571,1.690045787,1.783388183,0.111620939,0.279184544,0.220504265
