Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.q11.PMMR,SE.h11.True,SE.q11.True
2.251558008,0.18376995,0.185767184,2.50498423,1.187822796,0.585,2.268915935,0.155212842,0.15469039,2.515138618,1.187822796,0.585,1.343807693,3.350897877,2.027281865,0.051086575
1.755228906,0.339692914,0.339240799,2.284531261,1.244558135,0.5925,2.1934432,0.153792193,0.153314677,2.54417323,1.244558135,0.5925,1.70642755,8.906403209,1.967898523,0.051078463
1.623399104,0.247803079,0.246511186,2.241457629,1.234950185,0.62,1.872105396,0.137266903,0.135503554,2.39565553,1.234950185,0.62,1.63147661,5.640112431,2.000374788,0.050978418
1.727399943,0.190547455,0.190626831,2.271208334,1.219653619,0.60875,1.839849721,0.143572852,0.142935564,2.339662136,1.219653619,0.60875,1.505267176,4.048624019,1.994505571,0.05105979
1.960666273,0.349397083,0.34729511,2.430455833,1.244252738,0.605,2.156032145,0.14664545,0.144389982,2.548652186,1.244252738,0.605,1.08245214,8.902157644,2.022456147,0.050913143
2.027146393,0.222801096,0.221632549,2.349254114,1.186178871,0.57375,2.182195327,0.158400458,0.158853471,2.438213439,1.186178871,0.57375,1.006632649,6.239178612,1.997333633,0.051760606
2.089802707,0.291373835,0.289021057,2.462927945,1.222107588,0.59375,2.164233681,0.151000901,0.151135884,2.507121336,1.222107588,0.59375,1.323849969,6.494937173,1.973019826,0.050998914
1.954271026,0.156342071,0.157136051,2.510893891,1.284588822,0.6275,1.822548998,0.138639545,0.138201068,2.428238318,1.284588822,0.6275,1.111278376,3.450569223,1.994823154,0.050592693
1.94218185,0.183104767,0.183391512,2.441876074,1.237723327,0.62,1.83617405,0.141840784,0.142170653,2.376151237,1.237723327,0.62,0.94507698,5.577136526,1.998425804,0.051038833
1.750493427,0.170695136,0.173467829,2.286371226,1.229510819,0.60375,2.051746636,0.144132397,0.144271855,2.46825285,1.229510819,0.60375,1.326436301,3.185646753,2.033399687,0.050557116
1.619601244,0.188859567,0.187158405,2.268662559,1.270583293,0.61625,1.862951055,0.136742344,0.135713882,2.418626881,1.270583293,0.61625,1.192322217,3.833290381,1.98188073,0.050952002
1.90445776,0.287550459,0.289929033,2.300009851,1.164476912,0.59625,1.913828716,0.143598233,0.144313893,2.305597284,1.164476912,0.59625,1.595453714,6.580788048,2.007643078,0.051307189
