Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.q11.PMMR,SE.h11.True,SE.q11.True
1.71001367,0.272822175,0.274072758,2.198130984,1.231973261,0.565,1.989561365,0.225321762,0.22349308,2.356075432,1.231973261,0.565,1.182609147,4.272709628,1.943946139,0.049034416
2.248126715,0.297141855,0.295074965,2.884557871,1.316489488,0.6975,1.933914885,0.178063226,0.179181211,2.66539512,1.316489488,0.6975,0.995931483,9.395019245,1.980777446,0.049347246
1.352951717,0.320556877,0.322869938,2.207855158,1.345348438,0.6375,1.874456174,0.190573365,0.191448917,2.540314249,1.345348438,0.6375,1.532527386,6.444942966,2.033251361,0.051093062
1.611687704,0.257931079,0.255740253,2.12187561,1.219330496,0.56,1.707514676,0.217645198,0.2168606,2.175538715,1.219330496,0.56,0.625589863,6.082736565,2.076602346,0.050568359
1.812403133,0.242139876,0.240775072,2.598845831,1.398128755,0.6625,2.005919847,0.192171715,0.193503552,2.727050654,1.398128755,0.6625,1.031858822,7.218927371,1.991315841,0.050593121
2.46498015,0.467165527,0.468961391,2.491150947,1.135411865,0.55,2.001564042,0.221827033,0.222877578,2.236272088,1.135411865,0.55,1.350927605,7.834795278,2.008002329,0.050500353
2.211567816,0.453177848,0.451095876,2.417381721,1.134672388,0.58,2.36768036,0.226920748,0.22767855,2.507926997,1.134672388,0.58,1.616786333,7.623527086,2.015851081,0.049589824
1.707522465,0.272556258,0.27395753,2.38036572,1.338777016,0.61,1.902752821,0.197447327,0.198903745,2.499456237,1.338777016,0.61,0.758531754,5.198897447,2.010946063,0.049457618
1.553065211,0.385077887,0.386781452,2.21895248,1.252169386,0.6225,2.111511989,0.204009581,0.204650306,2.566585599,1.252169386,0.6225,1.15011558,8.479405938,2.054913846,0.049787887
1.073738505,0.373387615,0.375034034,2.013749853,1.310451132,0.655,1.971328608,0.189753812,0.189751892,2.601671371,1.310451132,0.655,1.399661987,8.61664255,1.950006354,0.052458054
1.477404783,0.401847466,0.402778748,2.279421185,1.341269148,0.635,1.610416006,0.188106413,0.188107865,2.363883312,1.341269148,0.635,1.301418291,8.508063091,2.093568809,0.050222923
3.504984004,0.660158845,0.663237742,3.156640638,1.132512375,0.5775,2.249186657,0.222288591,0.222427377,2.43141767,1.132512375,0.5775,1.153144118,10.43515321,1.985796247,0.049596187
2.741571263,0.402290704,0.409670329,2.539422507,1.065827953,0.5375,2.323547815,0.236112285,0.235457582,2.314734904,1.065827953,0.5375,1.086593524,6.586209349,2.058685516,0.049590436
2.061676871,0.33658124,0.338258095,2.33517127,1.129090301,0.585,2.117262069,0.223886759,0.226912746,2.367688611,1.129090301,0.585,1.283557574,5.58360475,2.042447355,0.052227665
1.982801233,0.363931129,0.36323181,2.360519732,1.185710002,0.5925,2.083135801,0.213591528,0.216230143,2.419967964,1.185710002,0.5925,1.293011852,7.525519007,1.985676588,0.05030226
1.909849452,0.228852366,0.229879651,2.403267057,1.281230503,0.5875,1.806426402,0.207599273,0.206370671,2.342506015,1.281230503,0.5875,0.842737205,4.435021442,2.092794122,0.05236576
2.004121406,0.264154465,0.26375828,2.341178133,1.178787718,0.58,1.98615604,0.214946341,0.212907368,2.330758221,1.178787718,0.58,0.567126582,6.545759109,2.074421016,0.050500478
1.580376205,0.427782952,0.432915995,2.072568739,1.151999599,0.5825,1.952660126,0.217188443,0.217986125,2.289424123,1.151999599,0.5825,1.200241382,7.783079631,2.03575982,0.052609113
2.086058043,0.203132076,0.203402548,2.578572852,1.285216865,0.62,2.094259887,0.200377171,0.200862146,2.583657995,1.285216865,0.62,0.885050963,3.661937846,2.016476198,0.050707969
1.80715933,0.425568281,0.423076391,2.403960248,1.279003565,0.6225,1.831811669,0.194713868,0.194744148,2.419306329,1.279003565,0.6225,1.395391799,6.87031625,1.92190119,0.04974867
1.310729019,0.273335893,0.275042894,2.024560981,1.231569925,0.605,1.62706427,0.195883103,0.196514052,2.215943808,1.231569925,0.605,0.472249997,7.979752442,1.99740419,0.052773025
2.613950223,0.305218117,0.303893825,2.822028585,1.2405887,0.605,2.264360574,0.214002369,0.216993663,2.610526848,1.2405887,0.605,1.410447328,4.205999716,1.968484016,0.049771532
2.21328416,0.296328071,0.296038287,2.620052734,1.242283345,0.6225,1.917227011,0.190759296,0.186940955,2.435757159,1.242283345,0.6225,1.307686946,5.875618327,2.002503238,0.049466853
2.253041731,0.444095412,0.445671426,2.584199178,1.22110893,0.605,2.279281757,0.22160852,0.222135792,2.600074393,1.22110893,0.605,1.232650137,7.157213048,2.049696443,0.050869327
1.64942998,0.284499945,0.282959147,2.412310016,1.344304104,0.6475,1.783838191,0.189056843,0.188859199,2.499339333,1.344304104,0.6475,1.365303795,6.535894188,1.92577174,0.051361407
2.595715975,0.356807842,0.354954528,2.701876649,1.170404224,0.59,1.867219947,0.210719159,0.213497891,2.272063992,1.170404224,0.59,1.469095109,5.387856266,2.122848027,0.052429059
1.830001456,0.283687453,0.284962637,2.180080886,1.169005082,0.5525,1.979756348,0.224361652,0.223735991,2.262820464,1.169005082,0.5525,1.286748279,5.322462187,2.062426669,0.051431122
1.891235827,0.433460477,0.438670665,2.37326169,1.17705503,0.6325,2.198099499,0.198619054,0.198627119,2.567352963,1.17705503,0.6325,1.263735196,10.55237765,2.024027533,0.050964039
1.833873878,0.371256392,0.369729288,2.359422393,1.240759328,0.61,2.015657761,0.203180685,0.203004714,2.470310562,1.240759328,0.61,1.886435066,5.901022008,1.956921334,0.051415889
