"V1","V2"
1.99669136602131,2.00103871530978
2.00019278313169,1.99160509183575
1.9914361699504,1.99943599757127
1.99244569822817,1.9933778836824
1.99730213782924,1.98259342300453
2.00034557344784,2.00000819393426
2.00304414464376,2.00697424028452
1.994223074008,1.99253706657944
1.98872225842857,2.00084898087358
2.00389135376914,1.99403744318052
1.99517272204607,2.00202175594351
1.98926071753788,1.99198421037473
1.99594646675611,1.99507508894485
1.98418074399115,1.99391210152214
1.9940537238288,1.98832127147336
1.98700655084131,1.9890815845592
1.99577451029041,2.00259884097318
1.99437313410327,2.00036346377277
2.00218821133505,1.99395492518581
2.00976903988318,2.00622337685036
2.00485422467942,2.00566959309223
1.99578543572929,1.9984770749571
2.001898981451,2.00476396698114
2.00126708655118,2.00111911908238
1.99655134419761,2.00153232797686
2.00685818471393,2.00763215520473
2.01309728928053,1.99159695750323
2.01244309224755,1.9949785149643
1.99909980458453,2.00105547661872
1.99891338554638,2.00689162923926
2.00724991146869,2.00140479803641
1.99643391871717,1.99781413148859
1.98969274782293,1.99898326671226
1.99282137976767,1.98779259449775
1.99765279771864,1.99674852189674
2.00676100249768,2.00138047636566
1.98514364110419,1.99220748131708
1.99501041482358,2.0048239369935
1.99767912347581,1.98652120569664
1.99909658012421,2.00084401103842
1.99999185193003,1.99418007445058
1.99446349422603,1.99206976013055
1.99138535669795,1.98900478954793
1.99795856581218,1.9951611771811
1.99857758266944,1.98636144241047
2.00142569469362,1.99472839008656
2.00274738115208,2.0137591794898
1.9922414073069,1.99941408445014
1.99400875601406,2.00646345174224
1.99267433015911,2.00535584913879
2.00044647485353,1.99985845389653
1.99315152616306,1.98594963252814
1.99790014080806,1.9945699977487
1.99509734424904,1.99342038035835
1.99430915092862,2.00007041820157
2.00584413615461,2.00926220978475
1.99571169513993,2.00217155298623
1.99878899420711,1.98666038438497
1.99189897513184,1.98923360720584
1.98924185596071,2.0048779680405
1.9998236441438,2.00151539142161
2.00601771541233,2.00097346680396
1.99396199606042,1.99222439606854
1.99992849736795,2.00382933639306
2.00367487690004,1.98137813959786
1.99577583590643,2.00666334265554
1.9893794112412,1.99219224557708
1.99929450046996,2.00101188613598
1.99783212499941,1.99292227682878
1.98520993375999,1.99460539100677
1.9954566123594,1.99961564180476
1.99091953966775,1.99350158658436
2.0041970642685,1.98856729912662
1.99271724734798,1.99256868924555
1.99271826081272,1.9964396257747
1.99646479546347,2.00849885050139
2.00347489540423,1.99832547408652
1.99787153789376,1.99183166267793
1.99147947923373,1.99941195947902
1.99700389050358,2.00248939992863
2.00064222100277,2.00213996196412
1.98883625379215,1.99107425108537
2.00054747515391,1.98455256784964
2.00713569994531,1.99532622294244
1.99667080732647,1.99289444334364
1.9880099706074,2.00035896418973
1.99424495452588,1.98862065865492
1.99602371287363,1.99421341351728
2.00017779945134,1.99694188445447
2.00290487849287,2.00254139075789
1.99362888174445,2.00317184412925
1.9920535556447,1.99298000338196
1.98654254949802,2.00115929855437
1.99462722998629,1.99333329737622
2.00020477424395,1.99716931300569
2.00206383841989,1.99540648387381
1.99983139149336,1.99424818923869
1.99937725081132,1.99967561736349
1.98882389578581,1.99578198832392
1.9934644263249,2.00947224352282
1.99392920080871,1.99550356970003
2.00142809196252,2.00094928563875
1.98894074518056,1.99384015578148
1.99656647591269,2.0004274671868
1.99553898776548,1.99961985932751
1.98939503221267,2.00096390846327
1.99852749816724,1.99997187724163
1.99850578267838,1.99572995216055
1.99990204713491,1.99533536470872
1.98713426781118,1.99603864659759
2.00570701766304,2.00378048691949
1.99916863923091,1.99970006273267
1.99615703412075,1.99670767843245
2.00360128302498,1.99928925810705
2.00016062354595,1.99066700956586
1.99731324476091,2.01106406600779
1.99599412905086,1.99700613622064
2.00432892206297,2.00556369074926
1.99341592527245,1.99951759715224
1.999623838388,1.99913896793403
1.99736037351134,1.99445293439774
1.99929383917131,1.98726518738112
1.99756914881046,1.9990834802144
1.9973265468437,1.99884834056577
1.99847653123378,1.99160813898131
1.99846278410664,1.98876052866259
1.99897476372632,1.99365847285252
1.99140301206637,2.00710237300885
2.00414019375279,1.98646714155228
1.99744114928896,1.99969671342036
2.00146909762461,2.00317668548479
2.00027922173571,2.00241719519806
2.00076363852257,1.99154169311544
1.99897650971019,1.99211074993631
1.99468748214072,1.98849718391814
1.9877158613881,1.99065473384226
1.98901576508406,1.99709340662373
2.00818430046426,1.99883477260357
1.99287358902721,1.9978971225444
1.99605120286295,2.00355440264417
1.99261013675091,2.00243692459978
2.00001351900747,1.99890411285579
1.9989667566927,1.99809131268313
2.00337491237604,2.00408220284813
1.99863290734061,2.00955014011986
1.99654045606373,1.99814762548194
2.00503051035741,1.99974361246877
1.99378633975663,1.99596561594241
1.99265772237077,1.99394356301393
1.99858120491706,1.988966163274
1.98891126731046,1.9921641300812
2.00197110393418,1.99142229294371
1.99566668501616,1.99626701042526
2.00439154448375,1.99559038730198
1.99763121432862,2.00042936474838
2.00050197629095,1.99968998189147
1.99610180991149,1.99343364408556
1.99290599169832,1.9917628608199
1.99728403797511,2.00083302067985
2.00409215839469,2.00985232450343
2.00473028646805,1.99836769403646
2.00270430590687,2.00471919894826
2.01245659991906,1.99792449225032
1.99249984902935,2.00015508824834
1.99281143720349,1.99042478937437
2.01006607534046,1.99801011601529
1.99350770398125,1.99030314295294
2.00535707917876,1.9979386147668
1.99918319265635,1.99667186993893
1.99549256291709,1.99145370202545
1.99459040103169,1.98832726868888
1.99422866924139,1.99247678268227
2.00152580149826,2.00869089988995
1.99410393612658,2.00339274928665
1.98557789620035,2.00042878025789
2.00175262108264,2.00319813663148
2.00998534873733,2.00804504198061
1.99014776955311,1.99666032205805
1.99060002525428,1.99944289044574
1.9975646406344,2.00426605274995
2.00193809808,2.00485609755607
1.99469980497331,1.99718033913678
1.9968669449038,1.99370711222871
1.99106946080475,1.99890706186987
1.99269448408337,2.00545934012483
1.98061338347048,1.99487755555599
2.00223259113277,2.00034224690047
1.9972827734032,1.99285294854057
2.00251908860554,2.00542304188439
1.98924915917321,2.001690130393
1.99728687032617,1.99274737191318
1.98630491517488,1.9908807751591
1.99460208664052,1.99462648825308
1.99775408898442,1.9919235397991
1.98687233803688,1.98930396092024
1.9978121115326,1.99960498513949
2.00375962783875,2.00543758274216
1.98898462280124,2.00792505015413
2.00443014226736,1.99430467068785
1.99689215902373,1.98281129999627
1.9961183880723,2.00119452343561
2.00391604827843,1.98875478176179
2.00209282620969,1.99567368374351
1.99900211505261,1.99978427719891
1.98870985682437,1.99852952381506
2.00622204100912,1.98965697139973
1.98978894189143,2.0006228604383
2.00643782463001,2.00428163606917
1.99200301663954,1.99448349611019
1.99746301610778,1.99722127851936
2.01376259971522,1.99689104960955
1.98863757776728,1.99396859555004
1.98874393382152,1.99573878006868
1.99159066903878,1.99936106899831
2.00268041685221,1.99513648564802
1.99927191105221,1.99563663979822
1.99663651001643,2.00566979121121
1.9971323254417,2.00840555095625
1.99447366417236,2.00426832325551
1.99784351083478,1.98978307536375
2.00812251344521,1.98774146228294
1.99622109525781,1.98887914259188
2.0037105404537,1.99251838274544
1.99122657634976,2.00362836322667
2.00278799677732,1.99403851673366
1.99589908142649,1.99865907870013
